Manufacturer,Product_Name,Capacity,RPM,Cache,Read_Write_Speed_MBps,IOPS,Latency_ms
Seagate,Enterprise Hard Drive,6,7200,128,200,100,0.004166666666666667
Seagate,Enterprise Hard Drive,3,7200,128,200,100,0.004166666666666667
Seagate,Enterprise Hard Drive v5,6,7200,128,200,100,0.004166666666666667
Seagate,Enterprise NAS Hard Drive,2,7200,128,200,100,0.004166666666666667
Seagate,Enterprise NAS Hard Drive,4,7200,128,200,100,0.004166666666666667
Seagate,Enterprise NAS Hard Drive,5,7200,128,200,100,0.004166666666666667
Seagate,Enterprise NAS Hard Drive,6,7200,128,200,100,0.004166666666666667
Seagate,Enterprise NAS Hard Drive,8,7200,128,200,100,0.004166666666666667
Seagate,Exos X14 Hard Drive,12,7200,256,200,100,0.004166666666666667
Seagate,FireCuda SSHD 2 TB,2,5400,128,150,60,0.005555555555555556
Seagate,IronWolf Hard Drive 10 TB,10,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Hard Drive 12 TB,12,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Hard Drive,14,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Hard Drive,16,5900,256,100,40,0.005084745762711864
Seagate,IronWolf Hard Drive,6,5400,256,150,60,0.005555555555555556
Seagate,IronWolf Hard Drive,6,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,IronWolf NAS Hard Drive,10,7200,0,200,100,0.004166666666666667
Seagate,IronWolf NAS Hard Drive,2,5900,0,100,40,0.005084745762711864
Seagate,IronWolf NAS Hard Drive,3,5900,0,100,40,0.005084745762711864
Seagate,IronWolf NAS Hard Drive,4,5900,0,100,40,0.005084745762711864
Seagate,IronWolf NAS Hard Drive,6,7200,0,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,4,7200,128,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,6,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,12,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,10,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,12,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,14,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,16,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,4,7200,128,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,IronWolf Pro NAS Hard Drive,10,7200,0,200,100,0.004166666666666667
Seagate,IronWolf Pro NAS Hard Drive,2,7200,0,200,100,0.004166666666666667
Seagate,IronWolf Pro NAS Hard Drive,6,7200,0,200,100,0.004166666666666667
Seagate,IronWolf Pro NAS Hard Drive,8,7200,0,200,100,0.004166666666666667
Seagate,Mobile Hard Drive,1,5400,128,150,60,0.005555555555555556
Seagate,Mobile Hard Drive,2,5400,128,150,60,0.005555555555555556
Seagate,NAS Hard Drive,2,5900,0,100,40,0.005084745762711864
Seagate,SkyHawk Hard Drive,3,7200,64,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,10,7200,256,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,3,5900,256,100,40,0.005084745762711864
Seagate,SkyHawk Hard Drive,4,7200,64,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,6,5900,256,100,40,0.005084745762711864
Seagate,SkyHawk Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,8,7200,256,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,1,7200,0,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,2,7200,0,200,100,0.004166666666666667
Seagate,SkyHawk Hard Drive,6,7200,0,200,100,0.004166666666666667
Seagate,Surveillance Hard Drive,3,7200,0,200,100,0.004166666666666667
Seagate,Surveillance Hard Drive,1,7200,0,200,100,0.004166666666666667
Seagate,Surveillance Hard Drive,8,7200,0,200,100,0.004166666666666667
Toshiba,N300 NAS Hard Drive,8,7200,128,200,100,0.004166666666666667
Toshiba,N300 NAS Hard Drive (Bulk),8,7200,128,200,100,0.004166666666666667
Toshiba,N300 NAS Hard Drive,4,7200,128,200,100,0.004166666666666667
Toshiba,N300 NAS Hard Drive (Bulk),4,7200,128,200,100,0.004166666666666667
Toshiba,P300 Performance HDD,4,5400,128,150,60,0.005555555555555556
Toshiba,P300 Performance HDD,6,5400,128,150,60,0.005555555555555556
Toshiba,P300 Performance HDD,2,7200,0,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,4,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,5,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,6,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,8,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD (Bulk),8,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,4,7200,128,200,100,0.004166666666666667
Toshiba,X300 Performance HDD,6,7200,128,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,4,7200,0,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,6,7200,0,200,100,0.004166666666666667
Western Digital,WD Blue HDD,5,5400,0,150,60,0.005555555555555556
Western Digital,WD Gold Enterprise HDD,4,7200,0,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,8,7200,0,200,100,0.004166666666666667
Western Digital,WD Purple NV Surveillance,4,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple NV Surveillance,6,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple Surveillance,2,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple Surveillance,3,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple Surveillance,4,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple Surveillance,6,5400,0,150,60,0.005555555555555556
Western Digital,WD Purple Surveillance,8,5400,0,150,60,0.005555555555555556
Western Digital,WD Red Pro NAS HDD,4,7200,0,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,6,7200,0,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,8,7200,0,200,100,0.004166666666666667
Western Digital,WD Red NAS HDD,8,5400,0,150,60,0.005555555555555556
Western Digital,WD Blue Mobile HDD,1,5400,128,150,60,0.005555555555555556
Western Digital,WD Blue Mobile HDD,2,5400,128,150,60,0.005555555555555556
Western Digital,WD Black Performance HDD,1,7200,64,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,2,7200,64,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,1,7200,32,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,4,7200,256,200,100,0.004166666666666667
Western Digital,WD Black Performance HDD,6,7200,256,200,100,0.004166666666666667
Western Digital,WD Blue HDD,6,5400,64,150,60,0.005555555555555556
Western Digital,WD Blue HDD,1,5400,64,150,60,0.005555555555555556
Western Digital,WD Blue HDD,1,7200,64,200,100,0.004166666666666667
Western Digital,WD Blue HDD,2,5400,256,150,60,0.005555555555555556
Western Digital,WD Blue HDD,2,5400,64,150,60,0.005555555555555556
Western Digital,WD Blue Mobile HDD,1,5400,8,150,60,0.005555555555555556
Western Digital,WD Blue HDD,3,5400,64,150,60,0.005555555555555556
Western Digital,WD Blue HDD,4,5400,64,150,60,0.005555555555555556
Western Digital,WD Blue HDD,6,5400,256,150,60,0.005555555555555556
Western Digital,WD Gold Enterprise HDD,1,7200,128,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,10,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,12,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,14,7200,512,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,16,7200,512,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,2,7200,128,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,4,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,6,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold Enterprise HDD,8,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold (Intellipower),6,7200,128,200,100,0.004166666666666667
Western Digital,WD Gold (Intellipower),8,7200,256,200,100,0.004166666666666667
Western Digital,WD Gold (Intellipower),10,7200,256,200,100,0.004166666666666667
Western Digital,WD Purple Surveillance HDD,8,7200,256,200,100,0.004166666666666667
Western Digital,WD Purple (Intellipower),10,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,1,5400,64,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,1,5400,16,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,10,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,10,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,12,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,14,5400,512,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,2,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,2,5400,64,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,3,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,3,5400,64,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,4,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,4,5400,64,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,6,5400,256,150,60,0.005555555555555556
Western Digital,WD Red NAS HDD,8,5400,256,150,60,0.005555555555555556
Western Digital,WD Red Plus NAS HDD,8,5640,128,100,40,0.005319148936170213
Western Digital,WD Red Plus NAS HDD,10,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Plus NAS HDD,12,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Plus NAS HDD,14,7200,512,200,100,0.004166666666666667
Western Digital,WD Red Plus NAS HDD,2,5400,128,150,60,0.005555555555555556
Western Digital,WD Red Plus NAS HDD,3,5400,128,150,60,0.005555555555555556
Western Digital,WD Red Plus NAS HDD,4,5400,128,150,60,0.005555555555555556
Western Digital,WD Red Plus NAS HDD,6,5640,128,100,40,0.005319148936170213
Western Digital,WD Red Plus NAS HDD,8,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,10,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,12,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,14,7200,512,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,16,7200,512,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,18,7200,512,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,2,7200,64,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,4,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,6,7200,256,200,100,0.004166666666666667
Western Digital,WD Red Pro NAS HDD,8,7200,256,200,100,0.004166666666666667
Western Digital,WD Red NAS HDD,6,5400,64,150,60,0.005555555555555556
Western Digital,WD SE Enterprise HDD,5,7200,0,200,100,0.004166666666666667
Seagate,Exos X20,20,7200,256,200,100,0.004166666666666667
Seagate,Exos X22,22,7200,512,200,100,0.004166666666666667
Seagate,IronWolf Pro 20 TB,20,7200,256,200,100,0.004166666666666667
Seagate,SkyHawk AI 20 TB,20,7200,256,200,100,0.004166666666666667
Seagate,Barracuda Compute 8 TB,8,5400,256,150,60,0.005555555555555556
Western Digital,Ultrastar DC HC570,20,7200,512,200,100,0.004166666666666667
Western Digital,Ultrastar DC HC680,24,7200,512,200,100,0.004166666666666667
Western Digital,WD Red Pro 22 TB,22,7200,512,200,100,0.004166666666666667
Western Digital,WD Gold 24 TB,24,7200,512,200,100,0.004166666666666667
Toshiba,MG10 Series 20 TB,20,7200,512,200,100,0.004166666666666667
Toshiba,MG10 Series 22 TB,22,7200,512,200,100,0.004166666666666667
Toshiba,N300 Pro 20 TB,20,7200,512,200,100,0.004166666666666667
Toshiba,X300 Performance 16 TB,16,7200,512,200,100,0.004166666666666667
