RAM_Type,Size,Clock,Sticks,Year,DDR_Type,Data_Rate,Bandwidth (GB/s),Latency (ns),Bandwidth_GB_s
DDR5-4800,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-4800,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-4000,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,128,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR5-5200,32,999.99,1,2022,DDR5,5,0.62499375,0.25600256002560023,1.99998
DDR5-6400,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-5600,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,128,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3000,128,999.99,1,2020,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR5-6800,32,999.99,2,2019,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-6400,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,8,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3466,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-6800,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,16,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-7000,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,128,999.99,1,2020,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR3-2133,16,999.99,2,2018,DDR3,3,0.7499925000000001,0.25600256002560023,0.99999
DDR4-3466,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,4,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-5200,64,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2133,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-5600,48,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,64,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-4400,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-4800,16,999.99,1,2022,DDR5,5,0.62499375,0.25600256002560023,1.99998
DDR3-1866,16,999.99,2,2018,DDR3,3,0.7499925000000001,0.25600256002560023,0.99999
DDR4-3600,64,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-5200,48,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3866,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR5-7200,32,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-7000,32,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-7200,32,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2933,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,64,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6400,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2666,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6200,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,8,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,64,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-7000,48,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,32,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2800,16,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,16,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5200,64,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2018,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,16,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,32,999.99,1,2020,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR5-6000,64,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2666,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-2400,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-7000,48,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3866,8,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,16,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-4600,32,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-6200,64,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-6000,64,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2666,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3466,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-4266,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-6600,64,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3733,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6000,64,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-6200,64,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3200,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5200,96,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-2133,64,999.99,1,2020,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR5-6400,64,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,128,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6600,64,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-4000,32,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5600,96,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR5-5200,96,999.99,2,2023,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3200,32,999.99,4,2019,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,16,999.99,4,2020,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-4800,32,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3000,32,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6200,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6600,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-6400,64,999.99,4,2022,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,128,999.99,1,2023,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3466,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,128,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3333,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,128,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3466,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2400,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2933,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-2133,64,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3000,128,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-2666,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3466,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-4266,16,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3333,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2023,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3733,32,999.99,4,2023,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3866,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3866,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,64,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3733,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-4000,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5200,192,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3000,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR5-5200,192,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3600,64,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3466,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-4266,16,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3333,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2023,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,32,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3733,32,999.99,4,2023,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3866,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3866,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2666,64,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3733,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3000,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3000,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-4000,32,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5200,192,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3000,64,999.99,1,2021,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3600,64,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR5-5200,192,999.99,4,2023,DDR5,5,2.499975,0.25600256002560023,1.99998
DDR4-3600,64,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-3600,64,999.99,8,2022,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-2666,64,999.99,4,2021,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-3200,128,999.99,4,2022,DDR4,4,1.99998,0.25600256002560023,1.99998
DDR4-2800,64,999.99,8,2021,DDR4,4,3.99996,0.25600256002560023,1.99998
DDR4-2666,128,999.99,1,2023,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3200,16,999.99,1,2019,DDR4,4,0.499995,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-4800,64,999.99,2,2022,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2022,DDR4,4,0.99999,0.25600256002560023,1.99998
